onset	duration	trial_type	pic_name	pic_price(NTD)	display_ttag	self_rating	rating_ttage	other_rating	present_rating_ttag	self_buy	other_buy	sellf_buy_ttag	display_purchase_ttag
0.3059	12.0181	together	n61.jpg	325	0.0013	1	1.8243	2	4.2197	notbuy	notbuy	10.2199	11.2775
12.3240	12.3582	together	f88.jpg	385	0.0133	1	1.4483	2	16.8309	notbuy	notbuy	22.8311	23.5156
24.6821	9.8939	alone	f187.jpg	290	0.0257	1	1.1267	2	27.8128	notbuy	notbuy	32.8130	33.5364
34.5760	10.4690	together	f56.png	1050	0.0356	2	2.0036	2	38.5966	notbuy	notbuy	42.5968	42.9403
45.0450	11.0597	together	f78.jpg	237	0.0460	1	1.4950	2	48.5459	notbuy	notbuy	54.5461	54.9950
56.1047	11.9597	together	n82.png	3799	0.0571	2	2.8411	2	60.9429	notbuy	notbuy	63.9431	65.9749
68.0644	11.0455	alone	a18.png	4100	0.0691	1	2.0941	2	72.1321	notbuy	notbuy	76.1323	78.0127
79.1099	9.7548	together	m70.jpg	490	0.0801	1	1.2201	2	82.3076	notbuy	notbuy	85.3077	85.7876
88.8647	9.3286	together	m11.jpg	290	0.0899	1	0.9919	2	91.8255	notbuy	notbuy	95.8257	97.1374
98.1933	10.6249	together	a49.png	320	0.0992	3	2.2222	1	102.3585	buy	buy	107.3586	107.7514
108.8182	10.7247	alone	f186.jpg	290	0.1098	1	0.9968	2	111.7393	notbuy	notbuy	116.7395	118.4362
119.5429	9.7241	together	f168.png	2180	0.1205	1	1.1125	2	122.5911	notbuy	notbuy	127.5913	128.1879
129.2670	9.4202	together	m42.jpg	420	0.1303	1	0.8793	2	133.0917	notbuy	notbuy	137.0918	137.6008
138.6871	8.7646	alone	f157.jpg	5888	0.1397	3	1.9887	1	142.5650	buy	notbuy	145.5652	146.3828
147.4518	9.6027	together	a61.png	470	0.1485	1	1.1595	2	150.5076	notbuy	notbuy	154.5077	154.9855
157.0545	14.4609	together	a53.png	395	0.1581	2	3.9861	1	162.9402	buy	notbuy	168.9404	169.3413
171.5154	8.5037	together	f199.jpg	390	0.1725	3	2.2045	1	175.6053	buy	buy	178.6054	178.9461
180.0191	10.5375	together	f38.png	367	0.1810	1	1.1300	2	184.0357	notbuy	buy	189.0359	189.4450
190.5566	9.7867	together	n58.png	241	0.1916	1	3.0266	2	195.4388	notbuy	notbuy	198.4389	199.2798
200.3433	9.9089	together	a20.png	3400	0.2013	1	1.4833	2	204.6884	notbuy	notbuy	207.6885	208.1787
210.2522	10.4477	alone	f49.jpg	180	0.2113	2	1.8233	1	213.9024	buy	notbuy	218.9025	219.5805
220.6998	12.7118	together	f170.jpg	842	0.2217	2	3.5657	2	226.1039	notbuy	notbuy	231.1040	232.2916
233.4116	10.3241	together	a40.png	850	0.2344	1	1.7274	2	236.9528	notbuy	notbuy	241.9530	242.6102
243.7357	14.4140	alone	n76.png	108	0.2447	3	3.6037	1	249.1271	buy	notbuy	255.1273	256.0020
258.1498	9.9095	together	m107.jpg	790	0.2591	3	1.7511	1	261.7021	buy	buy	266.7022	266.9919
268.0592	10.6673	together	f40.png	590	0.2691	1	1.9181	2	272.7837	notbuy	notbuy	276.7839	277.6337
278.7265	10.2696	together	a75.png	8000	0.2797	2	3.8617	2	284.3663	notbuy	notbuy	287.3665	287.9497
288.9962	8.9172	alone	f6.png	280	0.2900	1	1.4330	2	292.1677	notbuy	notbuy	296.1679	296.8333
297.9134	10.9221	together	n46.png	267	0.2989	1	1.1559	2	302.8334	notbuy	notbuy	305.8336	306.7082
308.8355	11.1645	together	n74.jpg	550	0.3098	1	4.1348	2	314.7153	notbuy	notbuy	317.7154	318.1980
